emission_names,cluster,is_new_cluster,Longitude,Latitude,Height..m.,Diameter..m.,Exit.Temp....,Velocity..m.s.,MW,CO2_tpa,Hg_kgpa,NOx_tpa,PM_tpa,SOx_tpa,FGD
Kenda80,kenda80,FALSE,122.6534,-4.05129,135,4.6,75,16.5,100,671842.2609899115,17.933504005481236,449.84110674873443,269.3659321848709,123.90832880504063,TRUE
Ketap22,ketap22,FALSE,110.1573,-2.36618,131.66666666666666,4.566666666666666,120,16.25,270,2147980.032,57.33609024655289,1438.2091913142856,861.2031085714285,4736.617097142856,FALSE
Ketap81,ketap81,FALSE,109.942674620394,-1.7800852316946,130,4.5,75,16.5,20,134368.4521979823,3.872561832246289,208.1202001839968,53.87318643697418,24.78166576100812,TRUE
Kotab82,kotab82,FALSE,116.2566572,-3.212690038,120,3.8,120,15,14,94057.91653858761,2.510690560767373,207.4117677823506,37.71123050588193,207.4117677823506,FALSE
Kupan83,kupan83,FALSE,123.490209457492,-10.23896404445815,127.5,4.4,97.5,16.25,63,423260.6244236442,10.494856350346634,933.3529550205776,169.70053727646865,485.34353661070037,FALSE
Labua84,labua84,FALSE,105.8278,-6.39218,215,7.5,95,18.5,600,3318799.7403787356,88.58881301955768,5138.815710552593,791.7231833086375,6785.466869114674,FALSE
Labuh85,labuh85,FALSE,98.73129,1.75185,150,5.5,75,17.5,230,1324489.0288086825,34.8669306977724,2050.833301836971,315.96623845285353,1895.797430717121,TRUE
Lati86,lati86,FALSE,117.619130649721,2.21499493228709,135,5,120,18,21,141086.87480788142,3.7660358411510595,94.46663241723422,56.56684575882289,311.1176516735259,FALSE
Lombo87,lombo87,FALSE,116.705070628944,-8.4349474655626,130,4.5,75,16.5,50,335921.13049495575,8.966752002740618,224.92055337436722,134.68296609243546,61.95416440252031,TRUE
Lombo88,lombo88,FALSE,116.7096,-8.42206,200,4.2,75,15.5,100,671842.2609899115,17.933504005481236,1481.51262701679,269.3659321848709,1481.51262701679,TRUE
Lonta89,lonta89,FALSE,106.4643,-6.05887,127,5.074999999999999,131,25,1260,6683062.490899645,80.02083541008803,15570.470875477251,572.7393133080817,18713.50345798195,FALSE
MTSum148,mtsum148,TRUE,103.127,-2.618,205,6.5,120,17.5,1200,5758647.951342099,153.71574861841057,12698.679660143915,1373.7662541428415,12698.679660143915,FALSE
Malin90,malin90,FALSE,116.6716917,3.636315337,125,4.3,120,16,6,40310.535659394685,1.0760102403288743,26.990466404924064,16.16195593109225,88.8907576210074,FALSE
Mamuj91,mamuj91,FALSE,119.146869826786,-2.47240456469966,130,4.5,75,16.5,50,335921.13049495575,8.966752002740618,224.92055337436722,134.68296609243546,61.95416440252031,TRUE
Medan23,medan23,FALSE,98.66539,3.667568,130,4.6,120,16.5,60,477328.896,12.741353388122866,319.6020425142857,191.37846857142856,1052.581577142857,FALSE
Merak35,merak35,FALSE,106.0642,-5.88403,140,4.8,120,17,120,954657.792,25.48270677624573,639.2040850285714,382.7569371428571,2105.163154285714,FALSE
Molot92,molot92,FALSE,123.13406964066,0.434029116189505,130,4.7,75,17,20,134368.4521979823,3.5867008010962476,104.95304815719126,53.87318643697418,24.78166576100812,TRUE
Nabir93,nabir93,FALSE,135.4568677,-3.3796544,125,4.2,120,16,14,94057.91653858761,2.510690560767373,62.97775494482282,37.71123050588193,207.4117677823506,FALSE
Nagan94,nagan94,FALSE,96.20241,4.115636,150,5,120,16.5,400,2121607.139968142,78.6407168690094,3887.3757160574532,506.12440942104695,4337.741377516231,FALSE
Nagan95,nagan95,FALSE,96.19889,4.10755,145,5,75,17,220,1166883.9269824778,43.252394277955155,1239.137161236843,278.36842518157573,1670.2105510894544,TRUE
Nansh11,nansh11,FALSE,104.65299999999999,0.9143924999999999,130,4.333333333333333,120,16,180,1431986.688,38.224060164368595,958.8061275428571,574.1354057142856,3157.744731428571,FALSE
NiiTa96,niita96,FALSE,122.537806010236,-3.89623962044689,130,4.666666666666667,120,17,30,201552.67829697343,5.380051201644371,444.4537881050369,80.80977965546127,444.4537881050369,FALSE
Ombil97,ombil97,FALSE,100.7537,-0.60902,155,6,120,18.75,200,1151729.5902684198,11.01559724431662,1028.0389282683057,461.7701694597788,2539.7359320287833,FALSE
PTHal13,pthal13,FALSE,127.41960909090909,-1.5626927272727273,153.1818181818182,5.1,120,16.545454545454547,2270,14508286.18105263,387.2700832442608,28755.370344180446,3654.8251221654136,31387.755998003002,FALSE
PTIHI152,ptihi152,TRUE,121.772,-2.28754,140,4.6,120,16,350,2198225.178947368,58.67728534003951,4847.415157894737,524.4021852631579,4847.415157894737,FALSE
PTTia147,pttia147,TRUE,104.4297,-0.55415,140,4.5,120,15.5,160,1004902.9389473685,26.82390186973235,2215.9612150375942,239.7267132631579,2215.9612150375942,FALSE
Pacit98,pacit98,FALSE,111.3736,-8.25782,175,6,120,18.5,630,3341531.2454498224,100.22351405386499,1728.265998052457,260.04374435812554,6831.942669588064,FALSE
Paito100,paito100,FALSE,113.58443333333332,-7.71462,206.66666666666666,7.833333333333333,75,20.5,1625,8446773.064317195,161.30224156116788,15552.095501610307,3848.4094142945705,6788.439431828536,TRUE
Paito101,paito101,FALSE,113.5707,-7.71103,225,7.5,120,20,660,3500651.7809474333,93.44299455487591,4056.22562407439,835.1052755447274,364.9199523388725,FALSE
Paito99,paito99,FALSE,113.5857,-7.7153,220,8.25,53.5,21,2550,14684552.27592235,261.316772651298,19961.080206057264,2943.784830306089,1936,TRUE
Palu102,palu102,FALSE,119.85591366666667,-0.7332018,131.66666666666666,4.6,75,16.666666666666668,166,1115258.153243253,29.76961664909885,2459.3109608478712,447.1474474268857,1563.2921240281169,TRUE
Pangk103,pangk103,FALSE,98.25823,4.12071,170,3.25,120,17.25,840,4455374.993933097,118.92744761529659,7500.9721517885,1062.8612597841984,9109.256892784084,FALSE
Panta104,panta104,FALSE,108.8640941,0.829654198,120,3.9,75,15,55,369513.24354445125,9.863427203014679,814.8319448592343,148.15126270167895,814.8319448592343,TRUE
Parit105,parit105,FALSE,109.2036,0.05798,125,4,75,15,100,671842.2609899115,17.933504005481236,1481.51262701679,269.3659321848709,1481.51262701679,TRUE
Pelab106,pelab106,FALSE,106.5464,-7.0242000000000004,208,6,120,18,1050,5569218.742416371,148.6593095191207,8623.355130721817,1328.576574730248,11386.571115980107,FALSE
Peraw17,peraw17,FALSE,101.6191,0.68932,148.57142857142858,5.428571428571429,120,17.714285714285715,755,5252711.403789474,140.21077039824678,6803.19398739248,1647.07192962406,11129.125901359397,FALSE
Pindo36,pindo36,FALSE,107.3436,-6.38547,140,5,120,17.5,50,397774.08,10.617794490102387,266.3350354285714,159.48205714285714,877.1513142857143,FALSE
Pomal12,pomal12,FALSE,121.5929,-4.17987,130,4.6,120,16.5,60,477328.896,12.741353388122866,319.6020425142857,191.37846857142856,1052.581577142857,FALSE
Pulan107,pulan107,FALSE,114.2088,-2.82265,135,4.8,75,17,120,806210.7131878937,21.52020480657748,1777.8151524201478,323.239118621845,148.68999456604874,TRUE
